Industry,Year,Employment
Goods-producing sector ,1976,894.3
Goods-producing sector ,1977,862.1
Goods-producing sector ,1978,851.8
Goods-producing sector ,1979,875.8
Goods-producing sector ,1980,891.3
Goods-producing sector ,1981,865.6
Goods-producing sector ,1982,776.9
Goods-producing sector ,1983,787.9
Goods-producing sector ,1984,811.7
Goods-producing sector ,1985,826.6
Goods-producing sector ,1986,866.9
Goods-producing sector ,1987,879.7
Goods-producing sector ,1988,910.4
Goods-producing sector ,1989,933.1
Goods-producing sector ,1990,919.7
Goods-producing sector ,1991,850.3
Goods-producing sector ,1992,816.2
Goods-producing sector ,1993,799.2
Goods-producing sector ,1994,830.4
Goods-producing sector ,1995,840.3
Goods-producing sector ,1996,817.1
Goods-producing sector ,1997,840.9
Goods-producing sector ,1998,870.1
Goods-producing sector ,1999,884.9
Goods-producing sector ,2000,898.2
Goods-producing sector ,2001,887
Goods-producing sector ,2002,936.3
Goods-producing sector ,2003,923.3
Goods-producing sector ,2004,914.6
Goods-producing sector ,2005,925.8
Goods-producing sector ,2006,904
Goods-producing sector ,2007,871.1
Goods-producing sector ,2008,873.8
Goods-producing sector ,2009,863.7
Goods-producing sector ,2010,863.2
Goods-producing sector ,2011,879.2
Goods-producing sector ,2012,876.1
Goods-producing sector ,2013,881.4
Goods-producing sector ,2014,846.4
Goods-producing sector ,2015,828.7
Goods-producing sector ,2016,832.6
Goods-producing sector ,2017,863.3
Goods-producing sector ,2018,870.4
Goods-producing sector ,2019,883.5
Goods-producing sector ,2020,850.4
Goods-producing sector ,2021,894.2
Goods-producing sector ,2022,928.4
Goods-producing sector ,2023,938.2
Agriculture ,1976,70.8
Agriculture ,1977,64.3
Agriculture ,1978,60.4
Agriculture ,1979,60.5
Agriculture ,1980,62.6
Agriculture ,1981,63.4
Agriculture ,1982,67.1
Agriculture ,1983,66.8
Agriculture ,1984,67.1
Agriculture ,1985,70.2
Agriculture ,1986,79.3
Agriculture ,1987,79.3
Agriculture ,1988,73.6
Agriculture ,1989,66.1
Agriculture ,1990,65.5
Agriculture ,1991,67.3
Agriculture ,1992,63.3
Agriculture ,1993,65.1
Agriculture ,1994,75.1
Agriculture ,1995,69.2
Agriculture ,1996,65
Agriculture ,1997,62
Agriculture ,1998,67.3
Agriculture ,1999,62.2
Agriculture ,2000,62.1
Agriculture ,2001,57
Agriculture ,2002,62.1
Agriculture ,2003,56.8
Agriculture ,2004,51.3
Agriculture ,2005,60.8
Agriculture ,2006,65.3
Agriculture ,2007,62
Agriculture ,2008,58.9
Agriculture ,2009,55.5
Agriculture ,2010,55.1
Agriculture ,2011,55.4
Agriculture ,2012,55.9
Agriculture ,2013,57.1
Agriculture ,2014,55.8
Agriculture ,2015,52.8
Agriculture ,2016,54.7
Agriculture ,2017,56
Agriculture ,2018,54.9
Agriculture ,2019,55
Agriculture ,2020,54.2
Agriculture ,2021,57.3
Agriculture ,2022,56.2
Agriculture ,2023,52.5
"Forestry, fishing, mining, quarrying, oil and gas",1976,53.3
"Forestry, fishing, mining, quarrying, oil and gas",1977,52.3
"Forestry, fishing, mining, quarrying, oil and gas",1978,54.1
"Forestry, fishing, mining, quarrying, oil and gas",1979,55.7
"Forestry, fishing, mining, quarrying, oil and gas",1980,53.3
"Forestry, fishing, mining, quarrying, oil and gas",1981,51.6
"Forestry, fishing, mining, quarrying, oil and gas",1982,43.5
"Forestry, fishing, mining, quarrying, oil and gas",1983,46.4
"Forestry, fishing, mining, quarrying, oil and gas",1984,53.4
"Forestry, fishing, mining, quarrying, oil and gas",1985,45.4
"Forestry, fishing, mining, quarrying, oil and gas",1986,40.3
"Forestry, fishing, mining, quarrying, oil and gas",1987,38
"Forestry, fishing, mining, quarrying, oil and gas",1988,43.7
"Forestry, fishing, mining, quarrying, oil and gas",1989,47.5
"Forestry, fishing, mining, quarrying, oil and gas",1990,48.2
"Forestry, fishing, mining, quarrying, oil and gas",1991,46.1
"Forestry, fishing, mining, quarrying, oil and gas",1992,41.9
"Forestry, fishing, mining, quarrying, oil and gas",1993,38.1
"Forestry, fishing, mining, quarrying, oil and gas",1994,44.9
"Forestry, fishing, mining, quarrying, oil and gas",1995,47.3
"Forestry, fishing, mining, quarrying, oil and gas",1996,40.9
"Forestry, fishing, mining, quarrying, oil and gas",1997,40.9
"Forestry, fishing, mining, quarrying, oil and gas",1998,45.3
"Forestry, fishing, mining, quarrying, oil and gas",1999,37.5
"Forestry, fishing, mining, quarrying, oil and gas",2000,39.9
"Forestry, fishing, mining, quarrying, oil and gas",2001,36.9
"Forestry, fishing, mining, quarrying, oil and gas",2002,40.3
"Forestry, fishing, mining, quarrying, oil and gas",2003,39.1
"Forestry, fishing, mining, quarrying, oil and gas",2004,36.1
"Forestry, fishing, mining, quarrying, oil and gas",2005,39.7
"Forestry, fishing, mining, quarrying, oil and gas",2006,39
"Forestry, fishing, mining, quarrying, oil and gas",2007,36.1
"Forestry, fishing, mining, quarrying, oil and gas",2008,32.4
"Forestry, fishing, mining, quarrying, oil and gas",2009,29.8
"Forestry, fishing, mining, quarrying, oil and gas",2010,32.1
"Forestry, fishing, mining, quarrying, oil and gas",2011,35.5
"Forestry, fishing, mining, quarrying, oil and gas",2012,37.7
"Forestry, fishing, mining, quarrying, oil and gas",2013,35.5
"Forestry, fishing, mining, quarrying, oil and gas",2014,33.3
"Forestry, fishing, mining, quarrying, oil and gas",2015,30.8
"Forestry, fishing, mining, quarrying, oil and gas",2016,29
"Forestry, fishing, mining, quarrying, oil and gas",2017,34.3
"Forestry, fishing, mining, quarrying, oil and gas",2018,38.7
"Forestry, fishing, mining, quarrying, oil and gas",2019,42
"Forestry, fishing, mining, quarrying, oil and gas",2020,37.9
"Forestry, fishing, mining, quarrying, oil and gas",2021,37.8
"Forestry, fishing, mining, quarrying, oil and gas",2022,43.3
"Forestry, fishing, mining, quarrying, oil and gas",2023,36.9
,,
Forestry and logging and support activities for forestry,1976,..
Forestry and logging and support activities for forestry,1977,..
Forestry and logging and support activities for forestry,1978,..
Forestry and logging and support activities for forestry,1979,..
Forestry and logging and support activities for forestry,1980,..
Forestry and logging and support activities for forestry,1981,..
Forestry and logging and support activities for forestry,1982,..
Forestry and logging and support activities for forestry,1983,..
Forestry and logging and support activities for forestry,1984,..
Forestry and logging and support activities for forestry,1985,..
Forestry and logging and support activities for forestry,1986,..
Forestry and logging and support activities for forestry,1987,19.5
Forestry and logging and support activities for forestry,1988,18.4
Forestry and logging and support activities for forestry,1989,22
Forestry and logging and support activities for forestry,1990,20.3
Forestry and logging and support activities for forestry,1991,17.2
Forestry and logging and support activities for forestry,1992,16.3
Forestry and logging and support activities for forestry,1993,16.9
Forestry and logging and support activities for forestry,1994,22.2
Forestry and logging and support activities for forestry,1995,24.1
Forestry and logging and support activities for forestry,1996,23
Forestry and logging and support activities for forestry,1997,23.2
Forestry and logging and support activities for forestry,1998,24.4
Forestry and logging and support activities for forestry,1999,23.4
Forestry and logging and support activities for forestry,2000,22
Forestry and logging and support activities for forestry,2001,21.8
Forestry and logging and support activities for forestry,2002,24.3
Forestry and logging and support activities for forestry,2003,22.3
Forestry and logging and support activities for forestry,2004,20.5
Forestry and logging and support activities for forestry,2005,20.4
Forestry and logging and support activities for forestry,2006,17.9
Forestry and logging and support activities for forestry,2007,15.6
Forestry and logging and support activities for forestry,2008,13.6
Forestry and logging and support activities for forestry,2009,12.2
Forestry and logging and support activities for forestry,2010,14.5
Forestry and logging and support activities for forestry,2011,13
Forestry and logging and support activities for forestry,2012,13.6
Forestry and logging and support activities for forestry,2013,15.7
Forestry and logging and support activities for forestry,2014,12
Forestry and logging and support activities for forestry,2015,9.5
Forestry and logging and support activities for forestry,2016,8.2
Forestry and logging and support activities for forestry,2017,11.3
Forestry and logging and support activities for forestry,2018,14.1
Forestry and logging and support activities for forestry,2019,14.7
Forestry and logging and support activities for forestry,2020,13.6
Forestry and logging and support activities for forestry,2021,14.2
Forestry and logging and support activities for forestry,2022,11.7
Forestry and logging and support activities for forestry,2023,9.6
,,
"Fishing, hunting and trapping",1976,..
"Fishing, hunting and trapping",1977,..
"Fishing, hunting and trapping",1978,..
"Fishing, hunting and trapping",1979,..
"Fishing, hunting and trapping",1980,..
"Fishing, hunting and trapping",1981,..
"Fishing, hunting and trapping",1982,..
"Fishing, hunting and trapping",1983,..
"Fishing, hunting and trapping",1984,..
"Fishing, hunting and trapping",1985,..
"Fishing, hunting and trapping",1986,..
"Fishing, hunting and trapping",1987,x
"Fishing, hunting and trapping",1988,3
"Fishing, hunting and trapping",1989,2.7
"Fishing, hunting and trapping",1990,2.3
"Fishing, hunting and trapping",1991,4.7
"Fishing, hunting and trapping",1992,3
"Fishing, hunting and trapping",1993,2.6
"Fishing, hunting and trapping",1994,1.9
"Fishing, hunting and trapping",1995,1.6
"Fishing, hunting and trapping",1996,1.5
"Fishing, hunting and trapping",1997,x
"Fishing, hunting and trapping",1998,1.6
"Fishing, hunting and trapping",1999,2.1
"Fishing, hunting and trapping",2000,2.5
"Fishing, hunting and trapping",2001,3.1
"Fishing, hunting and trapping",2002,3.3
"Fishing, hunting and trapping",2003,x
"Fishing, hunting and trapping",2004,1.7
"Fishing, hunting and trapping",2005,2.1
"Fishing, hunting and trapping",2006,2.7
"Fishing, hunting and trapping",2007,1.6
"Fishing, hunting and trapping",2008,x
"Fishing, hunting and trapping",2009,x
"Fishing, hunting and trapping",2010,1.6
